Section Reference;Meta-Analysis Info;TitlePrompt
Results;No Info;Carefully evaluate the titles below for their alignment with meaningful research outcomes and discoveries. Retain titles that showcase relevant and significant findings and exclude those whose results do not align with the criteria for inclusion.
Results;No Info;Review the provided list of titles, concentrating on their research results and conclusions. Ensure the inclusion of works that present valuable and relevant findings, and exclude any that fail to meet the threshold of meaningful academic contribution.
Results;No Info;Using your expertise, screen the titles below to determine the relevance of their research outcomes and findings. Include works that contribute to the field through significant results, and exclude those that lack sufficient depth or alignment with the topic.
Results;For MA;Carefully review the titles below to determine their relevance for inclusion in a meta-analysis, paying close attention to their research results, findings, and overall outcomes. Your goal is to identify studies that meaningfully contribute to synthesizing and advancing the broader understanding of the subject matter.
Results;For MA;Imagine you are part of a scientific team conducting a meta-analysis. Your task is to screen the provided titles of papers for their research findings, outcomes, and results. Select those titles that align with the objectives of producing a thorough and reliable synthesis of existing knowledge in the field.
Results;For MA;The titles below represent potential candidates for inclusion in a meta-analysis. As you evaluate them, focus on their research results and findings to determine their contribution to a comprehensive and balanced synthesis of the subject. Include only the most relevant studies while ensuring that no potentially valuable results are excluded.
Results;For MA;You are assisting in the preparation of a meta-analysis by evaluating the titles of scientific papers. Focus on their results, findings, and research outcomes to assess their potential value. Include only those titles whose findings are directly relevant to the synthesis and objectives of the meta-analysis.
Results;For MA;As part of a rigorous meta-analysis process, you are tasked with screening titles for their relevance. Concentrate on the research outcomes, findings, and results of each study to ensure the final selection supports a meaningful and reliable synthesis of evidence in the field.
Results;For MA;Your role in preparing a meta-analysis involves carefully examining the titles below to determine their relevance based on their research outcomes and findings. Select titles that contribute valuable insights, while excluding those with results that do not align with the objectives of a high-quality synthesis.
Results;For MA;Screen the list of titles below with the precision and expertise of a meta-analyst. Evaluate each title’s research outcomes, findings, and results to determine whether it merits inclusion in the meta-analysis, ensuring a balanced and accurate synthesis of the current body of evidence.
Results;For MA;As a researcher contributing to a meta-analysis, your task is to evaluate the provided titles for their alignment with the goals of synthesizing meaningful and relevant research outcomes. Focus on their results and findings to decide which titles should be included or excluded.
Results;For MA;Your mission is to review the provided titles for inclusion in a meta-analysis, emphasizing their research outcomes and findings. Carefully assess the potential of each study to contribute to a comprehensive synthesis, ensuring that only relevant results are selected.
Results;For MA;The titles below are being considered for a meta-analysis. Your responsibility is to screen them for inclusion by examining their research results, findings, and outcomes. Select titles that align with the broader goals of producing a thorough and reliable synthesis of knowledge, excluding those that do not meet the necessary criteria.
Results;Title;Review the titles below with a focus on their research findings, conclusions, and outcomes. Determine their relevance to a meta-analysis titled [ttl] by assessing how well they align with its research scope and objectives.
Results;Title;Your task is to screen the provided scientific paper titles for inclusion in a meta-analysis called [ttl]. Pay close attention to the research outcomes and conclusions of each title, selecting those that contribute to the synthesis of evidence relevant to this meta-analysis.
Results;Title;Evaluate the following titles based on their research outcomes, findings, and results. Your goal is to identify those that are pertinent to the objectives of a meta-analysis titled [ttl], ensuring that relevant studies are included while excluding unrelated ones.
Results;Title;Carefully assess the titles below for their potential inclusion in a meta-analysis titled [ttl]. Focus on the research discoveries, conclusions, and key findings to determine which studies are most relevant to the analysis.
Results;Title;As part of a research team conducting a meta-analysis titled [ttl], your role is to meticulously review the provided titles, selecting those with findings and outcomes that directly contribute to the meta-analysis, while filtering out irrelevant ones.
Results;Title;You are tasked with identifying scientific papers that align with the focus and objectives of a meta-analysis titled [ttl]. Review each title critically, considering its research conclusions, outcomes, and findings for potential inclusion.
Results;Title;Screen the scientific paper titles below to evaluate their relevance to a meta-analysis titled [ttl]. Base your decisions on the alignment of their research outcomes and findings with the goals of the meta-analysis, ensuring a balanced and thorough synthesis.
Results;Title;Analyze the provided titles to determine their alignment with the objectives of a meta-analysis titled [ttl]. Focus on the research outcomes and findings, ensuring that the selected titles add meaningful value to the overall synthesis of knowledge.
Results;Title;Review and assess the following paper titles for their suitability for inclusion in a meta-analysis called [ttl]. Your decisions should be based on how well their research outcomes and findings support the objectives of the meta-analysis.
Results;Title;Examine the scientific paper titles provided below and determine their relevance to the meta-analysis titled [ttl]. Carefully evaluate their research outcomes, findings, and conclusions, including only those that meet the inclusion criteria for this study.
Results;Criteria;As part of a research team conducting a meta-analysis, your responsibility is to screen the research papers provided, ensuring that their results meet the following selection criteria: [inclusion criteria] [exclusion criteria]. Focus on the key findings, outcomes, and conclusions of the studies to determine whether they align with the defined criteria. Only include those that reflect the latest advancements in the field and exclude those that do not contribute to the meta-analysis goals.
Results;Criteria;In preparation for an in-depth meta-analysis, assess the research outcomes and conclusions of the papers listed below. Based on the following inclusion and exclusion criteria: [inclusion criteria] [exclusion criteria], select those papers whose findings directly support the aims of the meta-analysis. Avoid including any papers whose results do not contribute to the research objectives or whose findings do not meet the criteria.
Results;Criteria;As you review the list of titles below, evaluate each paper’s research outcomes, findings, and results against the inclusion and exclusion criteria for an upcoming meta-analysis: [inclusion criteria] [exclusion criteria]. Your goal is to determine which papers should be included based on how their conclusions align with the meta-analysis objectives, ensuring a balanced selection.
Results;Criteria;You are tasked with assessing the relevance of the following scientific papers for inclusion in a meta-analysis. Review each study’s results, focusing on their alignment with the inclusion criteria: [inclusion criteria] and exclusion criteria: [exclusion criteria]. Select only those whose research outcomes provide a significant contribution to the topic and discard those whose findings do not meet the standards for inclusion.
Results;Criteria;Please evaluate the following papers for their relevance to an upcoming meta-analysis. Your review should focus on the research findings, results, and conclusions presented in each study, ensuring that they align with the specified inclusion criteria: [inclusion criteria] and exclusion criteria: [exclusion criteria]. Include only the most pertinent studies based on their research discoveries and exclude those that do not meet the requirements.
Results;Criteria;You are conducting a critical screening of academic papers for a meta-analysis. Your task is to review each study’s research outcomes, findings, and conclusions. Based on the following selection criteria: [inclusion criteria] [exclusion criteria], determine whether the papers should be included or excluded. Ensure the inclusion of studies that align with the meta-analysis focus, and discard those that fall outside the scope of the specified criteria.
Results;Criteria;In this stage of the meta-analysis process, you are tasked with carefully reviewing research papers based on their findings and results. The goal is to determine whether they meet the inclusion criteria: [inclusion criteria] and exclusion criteria: [exclusion criteria]. Screen each paper based on its research outcomes, ensuring that only studies with relevant and significant contributions are included.
Results;Criteria;As part of the research team responsible for a meta-analysis, carefully evaluate the studies provided below based on their outcomes, findings, and conclusions. Use the established inclusion criteria: [inclusion criteria] and exclusion criteria: [exclusion criteria] to assess each paper’s relevance. Select only those studies whose results align with the meta-analysis’s goals and exclude those that are irrelevant.
Results;Criteria;You are tasked with reviewing the following collection of academic papers for their relevance to an ongoing meta-analysis. Evaluate the research outcomes, findings, and conclusions in light of the inclusion criteria: [inclusion criteria] and exclusion criteria: [exclusion criteria]. Only papers whose research results align with the objectives of the meta-analysis should be included.
Results;Criteria;Please screen the following papers for inclusion in a meta-analysis. Focus your assessment on the research outcomes, findings, and results of each paper, ensuring that they meet the inclusion criteria: [inclusion criteria] and do not fall under the exclusion criteria: [exclusion criteria]. Your objective is to select papers that represent cutting-edge findings and contribute valuable insights to the meta-analysis.
